10 20	3.160
50 20	8.742
100 20	23.934
200 20	113.130
10 30	2.820
50 30	5.876
100 30	13.638
200 30	42.681
10 40	2.663
50 40	4.755
100 40	9.707
200 40	27.757
10 50	2.566
50 50	4.245
100 50	8.024
200 50	20.993
10 60	2.526
50 60	3.965
100 60	7.079
200 60	17.557
10 70	2.513
50 70	3.785
100 70	6.615
200 70	15.649
10 80	2.507
50 80	3.668
100 80	6.180
200 80	14.308
10 90	2.509
50 90	3.602
100 90	6.012
200 90	13.612
10 100	2.480
50 100	3.480
100 100	5.701
200 100	12.776
10 110	2.511
50 110	3.490
100 110	5.595
200 110	12.491
10 120	2.495
50 120	3.484
100 120	5.493
200 120	12.033
10 130	2.496
50 130	3.418
100 130	5.460
200 130	11.717
10 140	2.496
50 140	3.454
100 140	5.406
200 140	11.652
10 150	2.521
50 150	3.389
100 150	5.363
200 150	11.419
10 160	2.528
50 160	3.472
100 160	5.341
200 160	11.437
10 170	2.543
50 170	3.383
100 170	5.285
200 170	11.268
10 180	2.560
50 180	3.411
100 180	5.347
200 180	11.117
10 190	2.574
50 190	3.454
100 190	5.337
200 190	11.163
10 200	2.600
50 200	3.433
100 200	5.270
200 200	11.175
10 210	2.604
50 210	3.431
100 210	5.280
200 210	10.950
10 220	2.633
50 220	3.479
100 220	5.293
200 220	10.910
10 230	2.637
50 230	3.500
100 230	5.357
200 230	10.905
10 240	2.670
50 240	3.529
100 240	5.357
200 240	10.909
10 250	2.722
50 250	3.542
100 250	5.336
200 250	10.825
10 260	2.729
50 260	3.566
100 260	5.330
200 260	10.895
10 270	2.733
50 270	3.559
100 270	5.346
200 270	10.950
10 280	2.755
50 280	3.599
100 280	5.385
200 280	10.954
10 290	2.775
50 290	3.648
100 290	5.406
200 290	11.004
10 300	2.806
50 300	3.671
100 300	5.524
200 300	11.064
10 310	2.845
50 310	3.698
100 310	5.513
200 310	11.089
10 320	2.890
50 320	3.776
100 320	5.534
200 320	11.107
10 330	3.010
50 330	3.779
100 330	5.556
200 330	11.111
10 340	2.990
50 340	3.790
100 340	5.575
200 340	11.014
10 350	2.999
50 350	3.782
100 350	5.591
200 350	11.004
10 360	3.014
50 360	3.802
100 360	5.597
200 360	11.033
10 370	3.034
50 370	3.832
100 370	5.640
200 370	11.069
10 380	3.037
50 380	3.831
100 380	5.638
200 380	11.106
10 390	3.076
50 390	3.854
100 390	5.687
200 390	11.147
10 400	3.072
50 400	3.902
100 400	5.728
200 400	11.306
10 410	3.107
50 410	3.927
100 410	5.783
200 410	11.270
10 420	3.153
50 420	3.969
100 420	5.842
200 420	11.301
10 430	3.188
50 430	4.075
100 430	5.875
200 430	11.358
10 440	3.232
50 440	4.106
100 440	5.951
200 440	11.336
10 450	3.291
50 450	4.148
100 450	6.119
200 450	11.363
10 460	3.362
50 460	4.265
100 460	6.156
200 460	11.421
10 470	3.422
50 470	4.313
100 470	6.168
200 470	11.449
10 480	3.484
50 480	4.480
100 480	6.216
200 480	11.473
10 490	3.547
50 490	4.484
100 490	6.248
200 490	11.516
10 500	3.789
50 500	4.597
100 500	6.309
200 500	11.611
10 510	3.760
50 510	4.596
100 510	6.313
200 510	11.620
10 520	3.761
50 520	4.573
100 520	6.308
200 520	11.622
10 530	3.774
50 530	4.617
100 530	6.335
200 530	11.636
10 540	3.782
50 540	4.612
100 540	6.350
200 540	11.655
10 550	3.789
50 550	4.624
100 550	6.361
200 550	11.667
